,name,year,selling_price,km_driven,fuel,seller_type,transmission,owner,mileage,engine,max_power,seats,carAge,price_per_kilometer
0,Maruti Swift Dzire VDI,2014,450000,145500,Diesel,Individual,Manual,First Owner,23,1248,74,5,11,3.0927835051546393
1,Skoda Rapid 1.5 TDI Ambition,2014,370000,120000,Diesel,Individual,Manual,Second Owner,21,1498,103,5,11,3.0833333333333335
2,Honda City 2017-2020 EXi,2006,158000,140000,Petrol,Individual,Manual,Third Owner,17,1497,78,5,19,1.1285714285714286
3,Hyundai i20 Sportz Diesel,2010,225000,127000,Diesel,Individual,Manual,First Owner,23,1396,90,5,15,1.7716535433070866
4,Maruti Swift VXI BSIII,2007,130000,120000,Petrol,Individual,Manual,First Owner,16,1298,88,5,18,1.0833333333333333
5,Hyundai Xcent 1.2 VTVT E Plus,2017,440000,45000,Petrol,Individual,Manual,First Owner,20,1197,81,5,8,9.777777777777779
6,Maruti Wagon R LXI DUO BSIII,2007,96000,175000,LPG,Individual,Manual,First Owner,17,1061,57,5,18,0.5485714285714286
7,Maruti 800 DX BSII,2001,45000,5000,Petrol,Individual,Manual,Second Owner,16,796,37,4,24,9.0
8,Toyota Etios VXD,2011,350000,90000,Diesel,Individual,Manual,First Owner,23,1364,67,5,14,3.888888888888889
9,Ford Figo Diesel Celebration Edition,2013,200000,169000,Diesel,Individual,Manual,First Owner,20,1399,68,5,12,1.183431952662722
10,Renault Duster 110PS Diesel RxL,2014,500000,68000,Diesel,Individual,Manual,Second Owner,19,1461,108,5,11,7.352941176470588
11,Maruti Zen LX,2005,92000,100000,Petrol,Individual,Manual,Second Owner,17,993,60,5,20,0.92
12,Maruti Swift Dzire VDi,2009,280000,140000,Diesel,Individual,Manual,Second Owner,19,1248,73,5,16,2.0
13,Maruti Swift 1.3 VXi,2007,200000,80000,Petrol,Individual,Manual,Second Owner,19,1430,87,5,18,2.5
14,Maruti Wagon R LXI Minor,2009,180000,90000,Petrol,Individual,Manual,Second Owner,18,1061,67,5,16,2.0
15,Mahindra KUV 100 mFALCON G80 K8 5str,2016,400000,40000,Petrol,Individual,Manual,First Owner,18,1198,82,5,9,10.0
16,Maruti Ertiga SHVS VDI,2016,778000,70000,Diesel,Individual,Manual,Second Owner,24,1248,88,7,9,11.114285714285714
17,Hyundai i20 1.4 CRDi Asta,2012,500000,53000,Diesel,Individual,Manual,Second Owner,23,1396,90,5,13,9.433962264150944
18,Maruti Alto LX,2002,150000,80000,Petrol,Individual,Manual,Second Owner,19,796,46,5,23,1.875
19,Hyundai i20 2015-2017 Asta 1.4 CRDi,2016,680000,100000,Diesel,Individual,Manual,First Owner,22,1396,88,5,9,6.8
20,Mahindra Verito 1.5 D4 BSIII,2011,174000,100000,Diesel,Individual,Manual,Second Owner,21,1461,64,5,14,1.74
21,Honda WR-V i-DTEC VX,2017,950000,50000,Diesel,Individual,Manual,First Owner,25,1498,98,5,8,19.0
22,Maruti Swift Dzire ZDI,2015,525000,40000,Diesel,Individual,Manual,First Owner,26,1248,74,5,10,13.125
23,Maruti SX4 ZDI,2012,600000,72000,Diesel,Individual,Manual,First Owner,21,1248,88,5,13,8.333333333333334
24,Tata Tigor 2017-2020 XZ,2018,500000,35000,Petrol,Individual,Manual,First Owner,20,1199,83,5,7,14.285714285714286
25,Maruti Baleno Delta 1.2,2016,575000,45000,Petrol,Individual,Manual,First Owner,21,1197,83,5,9,12.777777777777779
26,Maruti Alto 800 LXI,2017,275000,28000,Petrol,Individual,Manual,First Owner,24,796,47,5,8,9.821428571428571
27,Chevrolet Enjoy TCDi LTZ 7 Seater,2013,300000,70000,Diesel,Individual,Manual,First Owner,18,1248,73,7,12,4.285714285714286
28,Maruti Wagon R LXI Minor,2009,220000,120000,Petrol,Individual,Manual,First Owner,18,1061,67,5,16,1.8333333333333333
29,Maruti Omni E MPI STD BS IV,2018,254999,25000,Petrol,Individual,Manual,First Owner,16,796,34,8,7,10.19996
30,Maruti Vitara Brezza LDi Option,2017,670000,70000,Diesel,Individual,Manual,First Owner,24,1248,88,5,8,9.571428571428571
31,Fiat Palio 1.2 ELX,2003,70000,50000,Petrol,Individual,Manual,Second Owner,19,1430,87,5,22,1.4
32,Maruti Omni 8 Seater BSIV,2012,150000,35000,Petrol,Individual,Manual,Second Owner,14,796,35,5,13,4.285714285714286
33,Hyundai i20 1.2 Asta Dual Tone,2018,730000,2388,Petrol,Individual,Manual,First Owner,18,1197,81,5,7,305.69514237855947
34,Maruti Vitara Brezza LDi,2017,650000,16200,Diesel,Individual,Manual,First Owner,24,1248,88,5,8,40.123456790123456
35,Maruti Alto 800 CNG LXI Optional,2019,330000,10000,CNG,Individual,Manual,Second Owner,33,796,40,4,6,33.0
36,Maruti Alto K10 VXI Airbag,2019,366000,15000,Petrol,Individual,Manual,First Owner,23,998,67,5,6,24.4
37,Hyundai Verna VTVT 1.6 SX Option,2019,1149000,5000,Petrol,Individual,Manual,First Owner,17,1591,121,5,6,229.8
38,Datsun GO D,2016,150000,42000,Petrol,Individual,Manual,First Owner,20,1198,67,5,9,3.5714285714285716
39,Tata Safari DICOR 2.2 LX 4x2,2011,425000,60000,Diesel,Individual,Manual,Second Owner,13,2179,138,7,14,7.083333333333333
40,Maruti 800 Std,2012,150000,76000,Petrol,Individual,Manual,First Owner,16,796,37,4,13,1.9736842105263157
41,Jeep Compass 1.4 Limited Plus BSIV,2019,2100000,5000,Petrol,Individual,Automatic,First Owner,16,1368,160,5,6,420.0
42,Honda City i VTEC VX,2018,925000,28900,Petrol,Dealer,Manual,First Owner,17,1497,117,5,7,32.00692041522491
43,Honda City V MT,2013,425000,86300,Petrol,Dealer,Manual,First Owner,16,1497,116,5,12,4.92468134414832
44,Maruti Swift Dzire VXi AT,2018,675000,23300,Petrol,Dealer,Automatic,First Owner,18,1197,83,5,7,28.969957081545065
45,Maruti Vitara Brezza VDi,2018,819999,32600,Diesel,Dealer,Manual,First Owner,24,1248,88,5,7,25.15334355828221
46,Maruti Alto K10 VXI,2018,390000,10300,Petrol,Dealer,Manual,First Owner,23,998,67,5,7,37.86407766990291
47,Toyota Fortuner 4x4 MT,2014,1500000,77000,Diesel,Dealer,Manual,First Owner,12,2982,168,7,11,19.48051948051948
48,Toyota Innova 2.5 G (Diesel) 7 Seater BS IV,2013,700000,99000,Diesel,Dealer,Manual,First Owner,12,2494,100,7,12,7.070707070707071
49,Mercedes-Benz B Class B180,2014,1450000,27800,Diesel,Dealer,Automatic,Second Owner,14,2143,120,5,11,52.15827338129496
50,Honda Amaze S Diesel,2015,425000,49800,Diesel,Dealer,Manual,First Owner,24,1498,98,5,10,8.534136546184738
51,Mitsubishi Pajero Sport 4X4,2013,1090000,151000,Diesel,Dealer,Manual,First Owner,13,2477,175,7,12,7.218543046357616
52,Honda City i DTEC S,2015,600000,54700,Diesel,Dealer,Manual,First Owner,26,1498,98,5,10,10.968921389396709
53,Maruti Ciaz Zeta,2018,850000,64000,Petrol,Dealer,Manual,First Owner,20,1462,103,5,7,13.28125
54,Honda Jazz VX Diesel,2015,525000,63000,Diesel,Dealer,Manual,First Owner,27,1498,98,5,10,8.333333333333334
55,Toyota Innova Crysta 2.8 ZX AT BSIV,2016,1650000,127700,Diesel,Dealer,Automatic,Second Owner,11,2755,171,7,9,12.920908379013312
